id_produto;preco;uf;fimVigencia;inicioVigencia;tipoPreco;listaPreco
1000388;2.15;;;2022-11-28T00:00:00;N;14079152
1000388;1.19;;;2020-06-08T00:00:00;N;14753181
1000388;1.81;;;2022-11-14T00:00:00;N;14755180
1000404;82.28;;;1970-01-01T00:00:00;N;1
1000404;59.23;;;1970-01-01T00:00:00;N;2
1000404;82.28;;;1970-01-01T00:00:00;N;3
1000411;90.47;;;2023-05-22T00:00:00;N;13108126
1000411;90.47;;;2023-07-10T00:00:00;N;14079152
1000411;90.47;;;2023-05-22T00:00:00;N;14755180
1000420;2184.93;;;1970-01-01T00:00:00;N;1
1000420;1557.68;;;1970-01-01T00:00:00;N;2
1000420;2184.93;;;1970-01-01T00:00:00;N;3
1000423;866.27;;;2022-11-28T00:00:00;N;14753181
1000423;893.61;;;2022-11-28T00:00:00;N;38893362
1000424;103.43;;;2023-05-08T00:00:00;N;13108126
1000424;109.72;;;2023-11-13T00:00:00;N;14079152
1000424;107.13;;;2023-05-08T00:00:00;N;14753181
1000435;7.0;;;2023-10-27T17:09:02;C;1741109
1000435;6.25;;;2023-10-31T14:22:22;C;1741117
1000435;6.63;;;2023-10-30T19:51:55;C;1741133
1000436;7.76;;;2022-11-28T00:00:00;N;14079152
1000436;9.18;;;2023-01-23T00:00:00;N;30855291
1000436;7.76;;;2022-11-28T00:00:00;N;38893361
1000438;6.68;;;2023-10-26T09:25:42;C;1741059
1000438;8.36;;;2023-10-26T12:48:29;C;1741081
1000438;7.05;;;2023-10-27T17:09:02;C;1741109
1000440;6.79;;;2023-10-31T14:22:22;C;1741117
1000440;6.76;;;2023-10-31T14:57:10;C;1741143
1000440;7.01;;;2023-11-09T14:47:38;C;1741151
1000441;243.47;;;1970-01-01T00:00:00;N;1
1000441;243.47;;;1970-01-01T00:00:00;N;2
1000441;243.47;;;1970-01-01T00:00:00;N;3
1000444;218.49;;;2023-04-24T00:00:00;N;13108126
1000444;110.18;;;2020-11-09T00:00:00;N;14753181
1000444;125.8;;;2020-11-09T00:00:00;N;19595207
1000457;126.09;;;2023-10-27T17:09:02;C;1741109
1000457;112.65;;;2023-10-31T14:22:22;C;1741117
1000457;119.46;;;2023-10-30T19:51:55;C;1741133
1000458;234.18;;;2023-11-09T14:47:38;C;1741151
1000458;320.03;;;2023-11-13T10:14:06;C;1741238
1000458;365.06;;;2023-05-08T00:00:00;N;14079152
1000459;233.46;;;2023-05-08T00:00:00;N;19595207
1000459;233.46;;;2023-05-08T00:00:00;N;38893375
1000461;78.86;;;2021-08-02T00:00:00;N;13108126
1000461;73.59;;;2021-08-02T00:00:00;N;14753181
1000461;78.86;;;2021-08-02T00:00:00;N;32478324
1000472;76.12;;;2022-11-28T00:00:00;N;14753181
1000472;78.52;;;2022-11-28T00:00:00;N;38893362
1000477;77.49;;;2023-05-29T00:00:00;N;13108126
1000477;56.23;;;2023-07-10T00:00:00;N;14079152
1000477;56.25;;;2023-07-10T00:00:00;N;14755180
1000480;168.98;;;2020-07-06T00:00:00;N;13108126
1000480;153.71;;;2021-05-31T00:00:00;N;14755180
1000480;232.6;;;2020-10-19T00:00:00;N;32478324
1000503;34.03;;;2019-12-02T00:00:00;N;14753181
1000503;34.03;;;2019-12-02T00:00:00;N;38893362
1000507;10.6;;;2022-11-28T00:00:00;N;14753181
1000507;10.6;;;2022-11-28T00:00:00;N;38893362
1000509;8659.48;;;2021-01-18T00:00:00;N;14079152
1000509;7292.19;;;2021-01-18T00:00:00;N;30855291
1000509;8659.48;;;2021-01-18T00:00:00;N;38893361
1000521;31.86;;;2023-01-30T00:00:00;N;13108126
1000521;31.86;;;2023-01-30T00:00:00;N;32478324
1000521;29.57;;;2023-01-30T00:00:00;N;34622304
1000524;19.84;;;2023-01-30T00:00:00;N;13108126
1000524;16.35;;;2023-01-30T00:00:00;N;14753181
1000524;15.13;;;2023-01-30T00:00:00;N;14755180
1000533;246.1;;;2022-11-28T00:00:00;N;14753181
1000533;246.1;;;2022-11-28T00:00:00;N;38893362
1000541;265.39;;;2023-04-24T00:00:00;N;13108126
1000541;133.86;;;2020-11-09T00:00:00;N;14753181
1000541;265.39;;;2023-04-24T00:00:00;N;32478324
1000551;91.07;;;2023-10-27T17:09:02;C;1741109
1000551;86.27;;;2023-10-30T19:51:55;C;1741133
1000551;89.09;;;2023-10-30T20:23:21;C;1741137
1000558;398.02;;;2023-10-27T14:15:34;C;1741090
1000558;454.67;;;2023-04-24T00:00:00;N;13108126
1000558;367.65;;;2023-05-22T00:00:00;N;14079152
1000569;226.15;;;2023-05-22T00:00:00;N;14079152
1000569;252.84;;;2023-05-22T00:00:00;N;30855291
1000569;171.95;;;2023-05-22T00:00:00;N;38893361
1000576;242.56;;;2023-04-24T00:00:00;N;13108126
1000576;214.92;;;2021-08-23T00:00:00;N;14079152
1000576;122.31;;;2020-11-09T00:00:00;N;14753181
1000588;1717.15;;;2019-10-04T11:20:00;N;19595207
1000588;1717.15;;;2019-10-04T11:20:00;N;38893375
1000593;273.01;;;2022-11-28T00:00:00;N;13108126
1000593;273.01;;;2022-11-28T00:00:00;N;32478324
1000593;277.01;;;2022-11-28T00:00:00;N;34622304
1000599;309.72;;;2022-11-28T00:00:00;N;14753181
1000599;319.49;;;2022-11-28T00:00:00;N;38893362
1000607;795.92;;;2022-11-28T00:00:00;N;14753181
1000607;821.03;;;2022-11-28T00:00:00;N;38893362
1000617;205.12;;;2022-11-28T00:00:00;N;14753181
1000617;205.12;;;2022-11-28T00:00:00;N;38893362
1000626;710.11;;;1970-01-01T00:00:00;N;1
1000626;710.11;;;1970-01-01T00:00:00;N;2
1000626;710.11;;;1970-01-01T00:00:00;N;3
1000632;131.22;;;2022-11-28T00:00:00;N;14753181
1000632;131.22;;;2022-11-28T00:00:00;N;38893362
1000635;365.96;;;2022-11-28T00:00:00;N;14753181
1000635;377.51;;;2022-11-28T00:00:00;N;38893362
1000638;1661.04;;;2022-11-28T00:00:00;N;14753181
